page_id,access_count,classification,target_node,result
244,162,cold,1,simulated
245,156,hot,0,simulated
246,160,cold,1,simulated
247,160,hot,0,simulated
248,156,cold,1,simulated
249,148,hot,0,simulated
250,162,hot,0,simulated
251,175,cold,1,simulated
252,157,cold,1,simulated
253,162,cold,1,simulated
254,168,hot,0,simulated
255,139,hot,0,simulated
256,145,cold,1,simulated
257,140,cold,1,simulated
258,164,hot,0,simulated
259,171,hot,0,simulated
260,145,hot,0,simulated
261,141,hot,0,simulated
262,155,hot,0,simulated
263,115,hot,0,simulated
264,132,cold,1,simulated
265,157,cold,1,simulated
266,176,cold,1,simulated
267,151,hot,0,simulated
268,161,cold,1,simulated
269,143,hot,0,simulated
270,155,cold,1,simulated
271,142,hot,0,simulated
272,139,cold,1,simulated
273,169,hot,0,simulated
274,176,hot,0,simulated
275,158,hot,0,simulated
276,164,hot,0,simulated
277,155,hot,0,simulated
278,150,hot,0,simulated
279,184,hot,0,simulated
280,159,hot,0,simulated
281,129,hot,0,simulated
282,138,hot,0,simulated
283,158,hot,0,simulated
284,156,hot,0,simulated
285,177,hot,0,simulated
286,149,hot,0,simulated
287,178,hot,0,simulated
288,175,hot,0,simulated
289,144,cold,1,simulated
290,151,hot,0,simulated
291,139,hot,0,simulated
292,178,hot,0,simulated
293,143,cold,1,simulated
294,161,hot,0,simulated
295,155,cold,1,simulated
296,164,hot,0,simulated
297,147,hot,0,simulated
298,167,cold,1,simulated
299,153,hot,0,simulated
300,160,cold,1,simulated
301,135,hot,0,simulated
302,142,cold,1,simulated
303,159,hot,0,simulated
304,178,hot,0,simulated
305,163,hot,0,simulated
306,173,hot,0,simulated
307,159,hot,0,simulated
308,159,hot,0,simulated
309,157,cold,1,simulated
310,186,cold,1,simulated
311,166,hot,0,simulated
312,150,hot,0,simulated
313,148,hot,0,simulated
314,163,hot,0,simulated
315,153,hot,0,simulated
316,173,hot,0,simulated
317,149,hot,0,simulated
318,135,cold,1,simulated
319,163,hot,0,simulated
320,145,hot,0,simulated
321,160,hot,0,simulated
322,168,hot,0,simulated
323,168,hot,0,simulated
324,159,cold,1,simulated
325,168,hot,0,simulated
326,154,hot,0,simulated
327,158,hot,0,simulated
328,158,hot,0,simulated
329,160,hot,0,simulated
330,152,hot,0,simulated
331,156,hot,0,simulated
332,172,hot,0,simulated
333,146,cold,1,simulated
334,173,hot,0,simulated
335,155,cold,1,simulated
336,159,hot,0,simulated
337,152,hot,0,simulated
338,173,hot,0,simulated
339,157,cold,1,simulated
340,145,hot,0,simulated
341,167,hot,0,simulated
342,137,hot,0,simulated
343,167,hot,0,simulated
344,143,cold,1,simulated
345,178,cold,1,simulated
346,178,hot,0,simulated
347,183,hot,0,simulated
348,165,hot,0,simulated
349,154,hot,0,simulated
350,166,cold,1,simulated
351,164,hot,0,simulated
352,141,hot,0,simulated
353,150,hot,0,simulated
354,170,hot,0,simulated
355,181,hot,0,simulated
356,154,cold,1,simulated
357,160,hot,0,simulated
358,144,hot,0,simulated
359,149,hot,0,simulated
360,174,hot,0,simulated
361,151,hot,0,simulated
362,163,hot,0,simulated
363,165,hot,0,simulated
364,151,hot,0,simulated
365,160,cold,1,simulated
366,160,hot,0,simulated
367,167,hot,0,simulated
368,159,cold,1,simulated
369,172,hot,0,simulated
370,160,hot,0,simulated
371,171,cold,1,simulated
372,148,hot,0,simulated
373,149,hot,0,simulated
374,141,hot,0,simulated
375,166,hot,0,simulated
376,159,hot,0,simulated
377,150,cold,1,simulated
378,162,hot,0,simulated
379,176,cold,1,simulated
380,167,cold,1,simulated
381,161,hot,0,simulated
382,166,hot,0,simulated
383,138,cold,1,simulated
384,152,hot,0,simulated
385,148,hot,0,simulated
386,133,hot,0,simulated
387,166,hot,0,simulated
388,146,hot,0,simulated
389,146,hot,0,simulated
390,153,hot,0,simulated
391,165,hot,0,simulated
392,127,hot,0,simulated
393,153,hot,0,simulated
394,158,cold,1,simulated
395,154,hot,0,simulated
396,132,hot,0,simulated
397,169,hot,0,simulated
398,169,cold,1,simulated
399,171,hot,0,simulated
400,149,hot,0,simulated
401,165,hot,0,simulated
402,171,hot,0,simulated
403,163,hot,0,simulated
404,147,hot,0,simulated
405,174,hot,0,simulated
406,159,cold,1,simulated
407,173,cold,1,simulated
408,144,hot,0,simulated
409,177,hot,0,simulated
410,137,cold,1,simulated
411,137,hot,0,simulated
412,156,hot,0,simulated
413,147,hot,0,simulated
414,149,cold,1,simulated
415,165,cold,1,simulated
416,168,hot,0,simulated
417,163,hot,0,simulated
418,155,hot,0,simulated
419,152,hot,0,simulated
420,140,hot,0,simulated
421,150,cold,1,simulated
422,159,cold,1,simulated
423,176,hot,0,simulated
424,163,hot,0,simulated
425,142,hot,0,simulated
426,151,cold,1,simulated
427,146,hot,0,simulated
428,147,cold,1,simulated
429,129,hot,0,simulated
430,140,hot,0,simulated
431,174,hot,0,simulated
432,149,cold,1,simulated
433,176,hot,0,simulated
434,151,hot,0,simulated
435,158,hot,0,simulated
436,152,hot,0,simulated
437,152,hot,0,simulated
438,135,hot,0,simulated
439,175,hot,0,simulated
440,166,hot,0,simulated
441,146,hot,0,simulated
442,148,hot,0,simulated
443,167,hot,0,simulated
444,158,hot,0,simulated
445,149,hot,0,simulated
446,179,cold,1,simulated
447,148,cold,1,simulated
448,151,cold,1,simulated
449,161,hot,0,simulated
450,156,hot,0,simulated
451,147,hot,0,simulated
